市区町村名,人数
神奈川県葉山町,1785.0
神奈川県寒川町,2581.0
神奈川県大磯町,1527.0
神奈川県二宮町,1145.0
神奈川県中井町,326.0
神奈川県大井町,774.0
神奈川県松田町,408.0
神奈川県山北町,362.0
神奈川県開成町,1155.0
神奈川県箱根町,300.0
神奈川県真鶴町,198.0
神奈川県湯河原町,697.0
神奈川県愛川町,1688.0
神奈川県清川村,113.0
新潟県新潟市北区,3417.0
新潟県新潟市東区,6093.0
新潟県新潟市中央区,8278.0
新潟県新潟市江南区,3548.0
新潟県新潟市秋葉区,3707.0
新潟県新潟市南区,2086.0
新潟県新潟市西区,7798.0
新潟県新潟市西蒲区,2318.0
新潟県長岡市,12493.0
新潟県三条市,3713.0
新潟県柏崎市,3304.0
新潟県新発田市,4602.0
新潟県小千谷市,1407.0
新潟県加茂市,940.0
新潟県十日町市,2102.0
新潟県見附市,1843.0
新潟県村上市,2192.0
新潟県燕市,3564.0
新潟県糸魚川市,1518.0
新潟県妙高市,1263.0
新潟県五泉市,1935.0
新潟県上越市,8713.0
新潟県阿賀野市,1832.0
新潟県佐渡市,2051.0
新潟県魚沼市,1363.0
新潟県南魚沼市,2647.0
新潟県胎内市,1242.0
新潟県聖籠町,904.0
新潟県弥彦村,358.0
新潟県田上町,444.0
新潟県阿賀町,240.0
新潟県出雲崎町,146.0
新潟県湯沢町,279.0
新潟県津南町,369.0
新潟県刈羽村,237.0
新潟県関川村,183.0
新潟県粟島浦村,8.0
富山県富山市,19242.0
富山県高岡市,6973.0
富山県魚津市,1603.0
富山県氷見市,1518.0
富山県滑川市,1587.0
富山県黒部市,1874.0
富山県砺波市,2302.0
富山県小矢部市,1181.0
富山県南砺市,1912.0
富山県射水市,4634.0
富山県舟橋村,191.0
富山県上市町,729.0
富山県立山町,1090.0
富山県入善町,891.0
富山県朝日町,362.0
石川県金沢市,22897.0
石川県七尾市,1933.0
石川県小松市,5441.0
石川県輪島市,701.0
石川県珠洲市,307.0
石川県加賀市,2688.0
石川県羽咋市,783.0
石川県かほく市,1965.0
石川県白山市,6085.0
石川県能美市,2712.0
石川県野々市市,3271.0
石川県川北町,402.0
石川県津幡町,2059.0
石川県内灘町,1412.0
石川県志賀町,670.0
石川県宝達志水町,422.0
石川県中能登町,778.0
石川県穴水町,207.0
石川県能登町,448.0
福井県福井市,12753.0
福井県敦賀市,3255.0
福井県小浜市,1426.0
福井県大野市,1352.0
福井県勝山市,984.0
福井県鯖江市,3812.0
福井県あわら市,1164.0
福井県越前市,3997.0
福井県坂井市,4675.0
福井県永平寺町,819.0
福井県池田町,70.0
福井県南越前町,450.0
福井県越前町,916.0
福井県美浜町,375.0
福井県高浜町,450.0
福井県おおい町,417.0
福井県若狭町,682.0
山梨県甲府市,8914.0
山梨県富士吉田市,2107.0
山梨県都留市,1232.0
山梨県山梨市,1494.0
山梨県大月市,676.0
山梨県韮崎市,1145.0
山梨県南アルプス市,3693.0
山梨県北杜市,1791.0
山梨県甲斐市,3962.0
山梨県笛吹市,3106.0
山梨県上野原市,716.0
山梨県甲州市,1277.0
山梨県中央市,1537.0
山梨県市川三郷町,601.0
山梨県早川町,28.0
山梨県身延町,262.0
山梨県南部町,221.0
山梨県富士川町,562.0
山梨県昭和町,1362.0
山梨県道志村,54.0
山梨県西桂町,194.0
山梨県忍野村,587.0
山梨県山中湖村,243.0
山梨県鳴沢村,137.0
山梨県富士河口湖町,1507.0
山梨県小菅村,26.0
山梨県丹波山村,14.0
長野県長野市,17848.0
長野県松本市,12308.0
長野県上田市,7488.0
長野県岡谷市,2022.0
長野県飯田市,4920.0
長野県諏訪市,2301.0
長野県須坂市,2396.0
長野県小諸市,1899.0
長野県伊那市,3367.0
長野県駒ヶ根市,1558.0
長野県中野市,2135.0
長野県大町市,876.0
長野県飯山市,774.0
長野県茅野市,2810.0
長野県塩尻市,3077.0
長野県佐久市,4992.0
長野県千曲市,2812.0
長野県東御市,1445.0
長野県安曇野市,4641.0
長野県小海町,150.0
長野県川上村,189.0
長野県南牧村,118.0
長野県南相木村,51.0
長野県北相木村,53.0
長野県佐久穂町,617.0
長野県軽井沢町,1009.0
長野県御代田町,845.0
長野県立科町,268.0
長野県青木村,183.0
長野県長和町,195.0
長野県下諏訪町,788.0
長野県富士見町,683.0
長野県原村,412.0
長野県辰野町,862.0
長野県箕輪町,1221.0
長野県飯島町,416.0
長野県南箕輪村,1037.0
長野県中川村,239.0
長野県宮田村,507.0
長野県松川町,645.0
長野県高森町,729.0
長野県阿南町,168.0
長野県阿智村,330.0
長野県平谷村,21.0
長野県根羽村,
長野県下條村,170.0
長野県売木村,22.0
長野県天龍村,26.0
長野県泰阜村,74.0
長野県喬木村,311.0
長野県豊丘村,347.0
長野県大鹿村,48.0
長野県上松町,153.0
長野県南木曽町,154.0
長野県木祖村,99.0
長野県王滝村,10.0
長野県大桑村,114.0
長野県木曽町,381.0
長野県麻績村,85.0
長野県生坂村,65.0
長野県山形村,455.0
長野県朝日村,197.0
長野県筑北村,123.0
長野県池田町,396.0
長野県松川村,452.0
長野県白馬村,376.0
長野県小谷村,110.0
長野県坂城町,599.0
長野県小布施町,587.0
長野県高山村,272.0
長野県山ノ内町,380.0
長野県木島平村,219.0
長野県野沢温泉村,145.0
長野県信濃町,
長野県小川村,71.0
長野県飯綱町,445.0
長野県栄村,43.0
岐阜県岐阜市,19329.0
岐阜県大垣市,8081.0
岐阜県高山市,4090.0
岐阜県多治見市,4936.0
岐阜県関市,4215.0
岐阜県中津川市,3623.0
岐阜県美濃市,863.0
岐阜県瑞浪市,1679.0
岐阜県羽島市,3358.0
岐阜県恵那市,2193.0
岐阜県美濃加茂市,3587.0
岐阜県土岐市,2632.0
岐阜県各務原市,7554.0
岐阜県可児市,5467.0
岐阜県山県市,1069.0
岐阜県瑞穂市,3368.0
岐阜県飛騨市,980.0
岐阜県本巣市,1641.0
岐阜県郡上市,1883.0
岐阜県下呂市,1261.0
岐阜県海津市,1287.0
岐阜県岐南町,1460.0
岐阜県笠松町,1016.0
岐阜県養老町,1108.0
岐阜県垂井町,1253.0
岐阜県関ケ原町,213.0
岐阜県神戸町,868.0
岐阜県輪之内町,491.0
岐阜県安八町,767.0
岐阜県揖斐川町,692.0
岐阜県大野町,1152.0
岐阜県池田町,1314.0
岐阜県北方町,
岐阜県坂祝町,470.0
岐阜県富加町,347.0
岐阜県川辺町,522.0
岐阜県七宗町,106.0
岐阜県八百津町,431.0
岐阜県白川町,232.0
岐阜県東白川村,71.0
岐阜県御嵩町,886.0
岐阜県白川村,
静岡県静岡市葵区,12161.0
静岡県静岡市駿河区,9073.0
静岡県静岡市清水区,10150.0
静岡県浜松市中区,11827.0
静岡県浜松市東区,6798.0
静岡県浜松市西区,5349.0
静岡県浜松市南区,4717.0
静岡県浜松市北区,5089.0
静岡県浜松市浜北区,6264.0
静岡県浜松市天竜区,841.0
静岡県沼津市,7882.0
静岡県熱海市,779.0
静岡県三島市,5180.0
静岡県富士宮市,6273.0
静岡県伊東市,2154.0
静岡県島田市,4917.0
静岡県富士市,12247.0
静岡県磐田市,8720.0
静岡県焼津市,6540.0
静岡県掛川市,6377.0
静岡県藤枝市,7484.0
静岡県御殿場市,4260.0
静岡県袋井市,5038.0
静岡県下田市,686.0
